Name,Team,Year,Position,Games,Points,Percentage,Rebounds,Assists,Steals,Blocks,MVP
Gary Payton,SEA,2000,PG,82,24.2,.448,6.5,8.9,1.9,0.2,No
Allen Iverson,PHI,2000,SG,70,28.4,.421,3.8,4.7,2.1,0.1,Yes
Grant Hill,DET,2000,SF,74,25.8,.489,6.6,5.2,1.4,0.6,No
Karl Malone,UTA,2000,PF,82,25.5,.509,9.5,3.7,1.0,0.9,No
Shaquille O'Neal,LAL,2000,C,79,29.7,.574,13.6,3.8,0.5,3.0,No
MEDIA QUINTETO, ,2000, ,387,26.72,0.48819999999999997,8.0,5.26,1.3800000000000001,0.96, 
Stephon Marbury,NJN,2001,PG,67,23.9,.441,3.1,7.6,1.2,0.1,No
Allen Iverson,PHI,2001,SG,71,31.1,.420,3.8,4.6,2.5,0.3,No
Paul Pierce,BOS,2001,SF,82,25.3,.454,6.4,3.1,1.7,0.8,No
Chris Webber,SAC,2001,PF,70,27.1,.481,11.1,4.2,1.3,1.7,No
Shaquille O'Neal,LAL,2001,C,74,28.7,.572,12.7,3.7,0.6,2.8,No
MEDIA QUINTETO, ,2001, ,364,27.22,0.47359999999999997,7.419999999999999,4.64,1.46,1.1400000000000001, 
Gary Payton,SEA,2002,PG,82,22.1,.467,4.8,9.0,1.6,0.3,No
Allen Iverson,PHI,2002,SG,60,31.4,.398,4.5,5.5,2.8,0.2,No
Paul Pierce,BOS,2002,SF,82,26.1,.442,6.9,3.2,1.9,1.0,No
Tim Duncan,SAS,2002,PF,82,25.5,.508,12.7,3.7,0.7,2.5,Yes
Shaquille O'Neal,LAL,2002,C,67,27.2,.579,10.7,3.0,0.6,2.0,No
MEDIA QUINTETO, ,2002, ,373,26.459999999999997,0.4788,7.92,4.88,1.52,1.2, 
Stephon Marbury,PHX,2003,PG,81,22.3,.439,3.2,8.1,1.3,0.2,No
Tracy McGrady,ORL,2003,SG,75,32.1,.457,6.5,5.5,1.7,0.8,No
Antawn Jamison,GSW,2003,SF,82,22.2,.470,7.0,1.9,0.9,0.5,No
Dirk Nowitzki,DAL,2003,PF,80,25.1,.463,9.9,3.0,1.4,1.0,No
Shaquille O'Neal,LAL,2003,C,67,27.5,.574,11.1,3.1,0.6,2.4,No
MEDIA QUINTETO, ,2003, ,385,25.840000000000003,0.4806,7.540000000000001,4.32,1.18,0.9800000000000001, 
Baron Davis,NOP,2004,PG,67,22.9,.395,4.3,7.5,2.4,0.4,No
Kobe Bryant,LAL,2004,SG,65,24.0,.438,5.5,5.1,1.7,0.4,No
Tracy McGrady,ORL,2004,SF,67,28.0,.417,6.0,5.5,1.4,0.6,No
Kevin Garnett,MIN,2004,PF,82,24.2,.499,13.9,5.0,1.5,2.2,No
Dirk Nowitzki,DAL,2004,C,77,21.8,.462,8.7,2.7,1.2,1.4,No
MEDIA QUINTETO, ,2004, ,358,24.18,0.44220000000000004,7.6800000000000015,5.16,1.64,1.0, 
Allen Iverson,PHI,2005,PG,75,30.7,.424,4.0,7.9,2.4,0.1,No
Kobe Bryant,LAL,2005,SG,66,27.6,.433,5.9,6.0,1.3,0.8,No
LeBron James,CLE,2005,SF,80,27.2,.472,7.3,7.2,2.2,0.7,No
Dirk Nowitzki,DAL,2005,PF,78,26.1,.459,9.7,3.1,1.2,1.5,No
Amar'e Stoudemire,PHX,2005,C,80,26.0,.559,8.9,1.6,1.0,1.6,No
MEDIA QUINTETO, ,2005, ,379,27.52,0.4694,7.159999999999999,5.160000000000001,1.6200000000000003,0.9400000000000001, 
Allen Iverson,PHI,2006,PG,72,33.0,.447,3.2,7.4,1.9,0.1,No
Kobe Bryant,LAL,2006,SG,80,35.4,.450,5.3,4.5,1.8,0.4,No
LeBron James,CLE,2006,SF,79,31.4,.480,7.0,6.6,1.6,0.8,No
Dirk Nowitzki,DAL,2006,PF,81,26.6,.480,9.0,2.8,0.7,1.0,Yes
Shaquille O'Neal,MIA,2006,C,59,20.0,.600,9.2,1.9,0.4,1.8,No
MEDIA QUINTETO, ,2006, ,371,29.28,0.49139999999999995,6.74,4.64,1.2800000000000002,0.82, 
Gilbert Arenas,WAS,2007,PG,74,28.4,.418,4.6,6.0,1.9,0.2,No
Kobe Bryant,LAL,2007,SG,77,31.6,.463,5.7,5.4,1.4,0.5,Yes
Carmelo Anthony,DEN,2007,SF,65,28.9,.476,6.0,3.8,1.2,0.4,No
Dirk Nowitzki,DAL,2007,PF,78,24.6,.502,8.9,3.4,0.7,0.8,No
Amar'e Stoudemire,PHX,2007,C,82,20.4,.575,9.6,1.0,1.0,1.3,No
MEDIA QUINTETO, ,2007, ,376,26.78,0.4868,6.960000000000001,3.9199999999999995,1.24,0.64, 
Baron Davis,GSW,2008,PG,82,21.8,.426,4.7,7.6,2.3,0.5,No
Kobe Bryant,LAL,2008,SG,82,28.3,.459,6.3,5.4,1.8,0.5,No
LeBron James,CLE,2008,SF,75,30.0,.484,7.9,7.2,1.8,1.1,Yes
Dirk Nowitzki,DAL,2008,PF,77,23.6,.479,8.6,3.5,0.7,0.9,No
Amar'e Stoudemire,PHX,2008,C,79,25.2,.590,9.1,1.5,0.8,2.1,No
MEDIA QUINTETO, ,2008, ,395,25.779999999999994,0.4875999999999999,7.32,5.04,1.48,1.02, 
Chris Paul,NOP,2009,PG,78,22.8,.503,5.5,11.0,2.8,0.1,No
Dwyane Wade,MIA,2009,SG,79,30.2,.491,5.0,7.5,2.2,1.3,No
LeBron James,CLE,2009,SF,81,28.4,.489,7.6,7.2,1.7,1.1,Yes
Dirk Nowitzki,DAL,2009,PF,81,25.9,.479,8.4,2.4,0.8,0.8,No
Dwight Howard,ORL,2009,C,79,20.6,.572,13.8,1.4,1.0,2.9,No
MEDIA QUINTETO, ,2009, ,398,25.580000000000002,0.5068,8.059999999999999,5.8999999999999995,1.7,1.2399999999999998, 
Derrick Rose,CHI,2010,PG,78,20.8,.489,3.8,6.0,0.7,0.3,Yes
Kobe Bryant,LAL,2010,SG,73,27.0,.456,5.4,5.0,1.5,0.3,No
Kevin Durant,OKC,2010,SF,82,30.1,.476,7.6,2.8,1.4,1.0,No
Dirk Nowitzki,DAL,2010,PF,81,25.0,.481,7.7,2.7,0.9,1.0,No
David Lee,NYK,2010,C,81,20.2,.545,11.7,3.6,1.0,0.5,No
MEDIA QUINTETO, ,2010, ,395,24.62,0.4894,7.239999999999999,4.0200000000000005,1.1,0.62, 
Derrick Rose,CHI,2011,PG,81,25.0,.445,4.1,7.7,1.0,0.6,No
Dwyane Wade,MIA,2011,SG,76,25.5,.500,6.4,4.6,1.5,1.1,No
Kevin Durant,OKC,2011,SF,78,27.7,.462,6.8,2.7,1.1,1.0,No
Amar'e Stoudemire,NYK,2011,PF,78,25.3,.502,8.2,2.6,0.9,1.9,No
Dwight Howard,ORL,2011,C,78,22.9,.593,14.1,1.4,1.4,2.4,No
MEDIA QUINTETO, ,2011, ,391,25.28,0.5004,7.92,3.8,1.1800000000000002,1.4, 
Russell Westbrook,OKC,2012,PG,66,23.6,.457,4.6,5.5,1.7,0.3,No
Kobe Bryant,LAL,2012,SG,58,27.9,.430,5.4,4.6,1.2,0.3,No
Kevin Durant,OKC,2012,SF,66,28.0,.496,8.0,3.5,1.3,1.2,No
Kevin Love,MIN,2012,PF,55,26.0,.448,13.3,2.0,0.9,0.5,No
Al Jefferson,UTA,2012,C,61,19.2,.492,9.6,2.2,0.8,1.7,No
MEDIA QUINTETO, ,2012, ,306,24.94,0.4646,8.18,3.56,1.1800000000000002,0.8, 
Russell Westbrook,OKC,2013,PG,82,23.2,.438,5.2,7.4,1.8,0.3,No
Kobe Bryant,LAL,2013,SG,78,27.3,.463,5.6,6.0,1.4,0.3,No
Kevin Durant,OKC,2013,SF,81,28.1,.510,7.9,4.6,1.4,1.3,Yes
Carmelo Anthony,NYK,2013,PF,67,28.7,.449,6.9,2.6,0.8,0.5,No
Brook Lopez,BRK,2013,C,74,19.4,.521,6.9,0.9,0.4,2.1,No
MEDIA QUINTETO, ,2013, ,382,25.339999999999996,0.47620000000000007,6.5,4.3,1.16,0.9, 
Stephen Curry,GSW,2014,PG,78,24.0,.471,4.3,8.5,1.6,0.2,Yes
James Harden,HOU,2014,SG,73,25.4,.456,4.7,6.1,1.6,0.4,No
Kevin Durant,OKC,2014,SF,81,32.0,.503,7.4,5.5,1.3,0.7,No
Kevin Love,MIN,2014,PF,77,26.1,.457,12.5,4.4,0.8,0.5,No
DeMarcus Cousins,SAC,2014,C,71,22.7,.496,11.7,2.9,1.5,1.3,No
MEDIA QUINTETO, ,2014, ,380,26.04,0.4766,8.12,5.4799999999999995,1.3599999999999999,0.62, 
Russell Westbrook,OKC,2015,PG,67,28.1,.426,7.3,8.6,2.1,0.2,No
James Harden,HOU,2015,SG,81,27.4,.440,5.7,7.0,1.9,0.7,No
LeBron James,CLE,2015,SF,69,25.3,.488,6.0,7.4,1.6,0.7,No
Anthony Davis,NOP,2015,PF,68,24.4,.535,10.2,2.2,1.5,2.9,No
DeMarcus Cousins,SAC,2015,C,59,24.1,.467,12.7,3.6,1.5,1.7,No
MEDIA QUINTETO, ,2015, ,344,25.859999999999996,0.47120000000000006,8.379999999999999,5.76,1.72,1.24, 
Stephen Curry,GSW,2016,PG,79,30.1,.504,5.4,6.7,2.1,0.2,No
James Harden,HOU,2016,SG,82,29.0,.439,6.1,7.5,1.7,0.6,No
Kevin Durant,OKC,2016,SF,72,28.2,.505,8.2,5.0,1.0,1.2,No
Anthony Davis,NOP,2016,PF,61,24.3,.493,10.3,1.9,1.3,2.0,No
DeMarcus Cousins,SAC,2016,C,65,26.9,.451,11.5,3.3,1.6,1.4,No
MEDIA QUINTETO, ,2016, ,359,27.7,0.4784,8.3,4.88,1.5399999999999998,1.08, 
Russell Westbrook,OKC,2017,PG,81,31.6,.425,10.7,10.4,1.6,0.4,No
James Harden,HOU,2017,SG,81,29.1,.440,8.1,11.2,1.5,0.5,Yes
LeBron James,CLE,2017,SF,74,26.4,.548,8.6,8.7,1.2,0.6,No
Anthony Davis,NOP,2017,PF,75,28.0,.505,11.8,2.1,1.3,2.2,No
Karl-Anthony Towns,MIN,2017,C,82,25.1,.542,12.3,2.7,0.7,1.3,No
MEDIA QUINTETO, ,2017, ,393,28.04,0.492,10.3,7.0200000000000005,1.26,1.0, 
Damian Lillard,POR,2018,PG,73,26.9,.439,4.5,6.6,1.1,0.4,No
James Harden,HOU,2018,SG,72,30.4,.449,5.4,8.8,1.8,0.7,No
Kevin Durant,GSW,2018,SF,68,26.4,.516,6.8,5.4,0.7,1.8,No
Anthony Davis,NOP,2018,PF,75,28.1,.534,11.1,2.3,1.5,2.6,No
Joel Embiid,PHI,2018,C,63,22.9,.483,11.0,3.2,0.6,1.8,No
MEDIA QUINTETO, ,2018, ,351,26.939999999999998,0.48419999999999996,7.76,5.26,1.1400000000000001,1.46, 
